	X54675	X54675.1	cyclophosphamide.coeff	cyclophosphamide.pvalue
1555247_a_at_1555247_a_at	1555247_a_at	1555247_a_at	-0.560616807	0.005945991
1555261_at_1555261_at	1555261_at	1555261_at	-0.362781417	0.254422312
1555263_at_1555263_at	1555263_at	1555263_at	0.586637928	0.575286573
1555303_at_1555303_at	1555303_at	1555303_at	-0.23906109	0.094590115
1555311_at_1555311_at	1555311_at	1555311_at	-0.284658863	0.284270158
1555325_s_at_1555325_s_at	1555325_s_at	1555325_s_at	-0.205523095	0.457055493
1555344_at_1555344_at	1555344_at	1555344_at	1.103854599	0.318549488
1555373_at_1555373_at	1555373_at	1555373_at	0.21749927	0.71241221
1555392_at_1555392_at	1555392_at	1555392_at	0.117107113	0.583757048
1555408_at_1555408_at	1555408_at	1555408_at	0.478011998	0.029722957
1555409_a_at_1555409_a_at	1555409_a_at	1555409_a_at	0.507603086	0.011642
1555410_at_1555410_at	1555410_at	1555410_at	-0.286899808	0.747430304
1555415_at_1555415_at	1555415_at	1555415_at	-1.339208719	0.250407663
1555429_at_1555429_at	1555429_at	1555429_at	-0.107690522	0.899222661
1555456_at_1555456_at	1555456_at	1555456_at	-0.328094367	0.748825358
1555461_at_1555461_at	1555461_at	1555461_at	-0.088887195	0.52553462
1555488_at_1555488_at	1555488_at	1555488_at	1.73088054	0.053872156
1555489_at_1555489_at	1555489_at	1555489_at	0.311811807	0.64863607
1555498_at_1555498_at	1555498_at	1555498_at	-0.344219983	0.590244609
1555519_at_1555519_at	1555519_at	1555519_at	0.09628263	0.717331826
1555522_s_at_1555522_s_at	1555522_s_at	1555522_s_at	0.648287165	0.044698375
1555547_at_1555547_at	1555547_at	1555547_at	-0.594508586	0.465942098
1555580_at_1555580_at	1555580_at	1555580_at	-0.426336149	0.809560367
1555601_at_1555601_at	1555601_at	1555601_at	-0.808619674	0.549605688
1555616_at_1555616_at	1555616_at	1555616_at	-0.381956888	0.290936705
1555617_x_at_1555617_x_at	1555617_x_at	1555617_x_at	-0.089189421	0.87101935
1555623_at_1555623_at	1555623_at	1555623_at	-0.778243572	0.602350586
1555631_at_1555631_at	1555631_at	1555631_at	-0.310336289	0.75499863
1555646_at_1555646_at	1555646_at	1555646_at	0.911265264	0.583692971
1555653_at_1555653_at	1555653_at	1555653_at	0.693113539	0.097337276
1555664_at_1555664_at	1555664_at	1555664_at	-0.215022282	0.695698851
1555665_at_1555665_at	1555665_at	1555665_at	-0.777204688	0.640189239
1555681_at_1555681_at	1555681_at	1555681_at	0.020019286	0.97761555
1555691_a_at_1555691_a_at	1555691_a_at	1555691_a_at	-0.198108816	0.800809695
1555692_at_1555692_at	1555692_at	1555692_at	-0.475088349	0.738432856
1555717_at_1555717_at	1555717_at	1555717_at	2.385513745	0.094027532
1555718_x_at_1555718_x_at	1555718_x_at	1555718_x_at	-2.290067839	0.031941018
1555723_at_1555723_at	1555723_at	1555723_at	-0.527520699	0.081488596
1555727_at_1555727_at	1555727_at	1555727_at	-1.586690076	0.172124515
1555755_at_1555755_at	1555755_at	1555755_at	-0.146677401	0.920761349
1555762_s_at_1555762_s_at	1555762_s_at	1555762_s_at	0.425992414	0.35131285
1555790_a_at_1555790_a_at	1555790_a_at	1555790_a_at	0.049060257	0.831598947
1555794_at_1555794_at	1555794_at	1555794_at	0.893808144	0.176175367
1555816_at_1555816_at	1555816_at	1555816_at	-0.933664523	0.145243197
1555817_s_at_1555817_s_at	1555817_s_at	1555817_s_at	-0.299851919	0.164493723
1555822_at_1555822_at	1555822_at	1555822_at	0.047896028	0.943572959
1555826_at_1555826_at	1555826_at	1555826_at	-0.41989723	0.019534642
1555845_at_1555845_at	1555845_at	1555845_at	0.484381657	0.022755697
1555846_a_at_1555846_a_at	1555846_a_at	1555846_a_at	0.60280719	0.004063745
1555848_at_1555848_at	1555848_at	1555848_at	0.35469114	0.231490682
1555854_at_1555854_at	1555854_at	1555854_at	0.002163694	0.976799924
1555855_at_1555855_at	1555855_at	1555855_at	0.854410473	0.338346866
1555856_s_at_1555856_s_at	1555856_s_at	1555856_s_at	-0.097075598	0.794143531
1555868_at_1555868_at	1555868_at	1555868_at	0.210353521	0.491968525
1555869_a_at_1555869_a_at	1555869_a_at	1555869_a_at	-0.165506308	0.847002752
1555872_a_at_1555872_a_at	1555872_a_at	1555872_a_at	-0.15338462	0.393392662
1555890_at_1555890_at	1555890_at	1555890_at	0.252257418	0.055855745
1555893_at_1555893_at	1555893_at	1555893_at	-0.176865044	0.640617648
1555900_at_1555900_at	1555900_at	1555900_at	0.421754462	0.021678325
1555904_at_1555904_at	1555904_at	1555904_at	0.809582275	0.12669038
1555925_at_1555925_at	1555925_at	1555925_at	0.387709908	0.224722176
1555926_a_at_1555926_a_at	1555926_a_at	1555926_a_at	0.190121674	0.670261262
1555928_at_1555928_at	1555928_at	1555928_at	0.065286201	0.871981918
1555929_s_at_1555929_s_at	1555929_s_at	1555929_s_at	-0.062321667	0.62458754
1555931_at_1555931_at	1555931_at	1555931_at	-0.489307626	0.142099251
1555932_at_1555932_at	1555932_at	1555932_at	-0.392560566	0.533645455
1555939_at_1555939_at	1555939_at	1555939_at	1.661046914	0.389979284
1555940_a_at_1555940_a_at	1555940_a_at	1555940_a_at	4.932329998	0.004066975
1555967_at_1555967_at	1555967_at	1555967_at	-0.2151743	0.018499481
1555968_a_at_1555968_a_at	1555968_a_at	1555968_a_at	-0.248048364	0.032496698
1555973_at_1555973_at	1555973_at	1555973_at	0.20483775	0.427487501
1555974_a_at_1555974_a_at	1555974_a_at	1555974_a_at	0.066887713	0.739149046
1555977_at_1555977_at	1555977_at	1555977_at	-0.06169739	0.749466933
1555978_s_at_1555978_s_at	1555978_s_at	1555978_s_at	-0.089026281	0.578369213
1555989_at_1555989_at	1555989_at	1555989_at	-0.20873941	0.009599857
1555994_at_1555994_at	1555994_at	1555994_at	-0.315075464	0.805516943
1555995_a_at_1555995_a_at	1555995_a_at	1555995_a_at	-0.494133731	0.485255898
1556008_a_at_1556008_a_at	1556008_a_at	1556008_a_at	0.785153852	0.000512739
1556033_at_1556033_at	1556033_at	1556033_at	0.073533111	0.58081828
1556054_at_1556054_at	1556054_at	1556054_at	-0.118061432	0.439788574
1556055_at_1556055_at	1556055_at	1556055_at	0.043310215	0.792991362
1556065_at_1556065_at	1556065_at	1556065_at	-0.322218615	0.641022681
1556078_at_1556078_at	1556078_at	1556078_at	1.173614361	0.121299271
1556081_at_1556081_at	1556081_at	1556081_at	0.020709647	0.941873118
1556082_a_at_1556082_a_at	1556082_a_at	1556082_a_at	-0.034170484	0.910614604
1556090_at_1556090_at	1556090_at	1556090_at	0.094369307	0.776558767
1556097_at_1556097_at	1556097_at	1556097_at	0.099694784	0.597543405
1556103_at_1556103_at	1556103_at	1556103_at	-0.117437253	0.547298347
1556105_at_1556105_at	1556105_at	1556105_at	-0.077108927	0.756044452
1556107_at_1556107_at	1556107_at	1556107_at	-0.063674641	0.929393367
1556110_at_1556110_at	1556110_at	1556110_at	0.087014144	0.725898191
1556111_s_at_1556111_s_at	1556111_s_at	1556111_s_at	-0.003849524	0.985586977
1556122_at_1556122_at	1556122_at	1556122_at	0.323340664	0.283443749
