	X54675	X54675.1	paclitaxel.coeff	paclitaxel.pvalue
1556147_at_1556147_at	1556147_at	1556147_at	3.124249377	0.021049756
1556148_s_at_1556148_s_at	1556148_s_at	1556148_s_at	3.428029043	0.013342601
1556153_s_at_1556153_s_at	1556153_s_at	1556153_s_at	1.291569069	0.740518138
1556155_at_1556155_at	1556155_at	1556155_at	3.559333485	0.1800113
1556159_at_1556159_at	1556159_at	1556159_at	0.288183461	0.828056995
1556160_a_at_1556160_a_at	1556160_a_at	1556160_a_at	-0.027690513	0.977447939
1556161_a_at_1556161_a_at	1556161_a_at	1556161_a_at	-2.316567059	0.611378212
1556165_at_1556165_at	1556165_at	1556165_at	-2.455818626	0.120294922
1556166_x_at_1556166_x_at	1556166_x_at	1556166_x_at	-2.786125429	0.072223746
1556170_at_1556170_at	1556170_at	1556170_at	-0.785826953	0.774640747
1556171_a_at_1556171_a_at	1556171_a_at	1556171_a_at	-3.431629729	0.252593148
1556172_at_1556172_at	1556172_at	1556172_at	-0.21963405	0.763702003
1556173_a_at_1556173_a_at	1556173_a_at	1556173_a_at	-0.065213867	0.913372619
1556190_s_at_1556190_s_at	1556190_s_at	1556190_s_at	0.378019982	0.349874539
1556192_x_at_1556192_x_at	1556192_x_at	1556192_x_at	0.663008665	0.785112593
1556194_a_at_1556194_a_at	1556194_a_at	1556194_a_at	0.825749877	0.088384641
1556195_a_at_1556195_a_at	1556195_a_at	1556195_a_at	0.983332924	0.106120571
1556205_at_1556205_at	1556205_at	1556205_at	-3.312737547	0.163254607
1556210_at_1556210_at	1556210_at	1556210_at	0.182935336	0.806237519
1556211_a_at_1556211_a_at	1556211_a_at	1556211_a_at	0.267010662	0.563652269
1556212_x_at_1556212_x_at	1556212_x_at	1556212_x_at	0.072342508	0.917041917
1556216_s_at_1556216_s_at	1556216_s_at	1556216_s_at	-0.344427787	0.643158827
1556220_at_1556220_at	1556220_at	1556220_at	0.638865637	0.29892292
1556221_a_at_1556221_a_at	1556221_a_at	1556221_a_at	0.698298925	0.08689238
1556224_a_at_1556224_a_at	1556224_a_at	1556224_a_at	-2.056582967	0.201003919
1556226_at_1556226_at	1556226_at	1556226_at	2.687269079	0.022485243
1556229_at_1556229_at	1556229_at	1556229_at	0.473958875	0.65719982
1556231_a_at_1556231_a_at	1556231_a_at	1556231_a_at	2.910933374	0.467612231
1556235_at_1556235_at	1556235_at	1556235_at	-4.200845834	0.073455818
1556236_at_1556236_at	1556236_at	1556236_at	-2.14242355	0.002176836
1556238_at_1556238_at	1556238_at	1556238_at	6.303876399	0.054739008
1556239_a_at_1556239_a_at	1556239_a_at	1556239_a_at	2.669341263	0.061348626
1556240_at_1556240_at	1556240_at	1556240_at	1.214354615	0.608722908
1556247_a_at_1556247_a_at	1556247_a_at	1556247_a_at	-4.822489201	0.001100245
1556250_at_1556250_at	1556250_at	1556250_at	-2.402958287	0.344227989
