	X54675	X54675.1	gemcitabine.coeff	gemcitabine.pvalue
1555059_at_1555059_at	1555059_at	1555059_at	-1.357071825	0.715467205
1555084_at_1555084_at	1555084_at	1555084_at	-0.173562438	0.953959783
1555085_at_1555085_at	1555085_at	1555085_at	0.990032592	0.812869678
1555117_at_1555117_at	1555117_at	1555117_at	0.965072498	0.706299668
1555129_at_1555129_at	1555129_at	1555129_at	-2.169765337	0.574831492
1555132_at_1555132_at	1555132_at	1555132_at	-1.709965019	0.55395272
1555135_at_1555135_at	1555135_at	1555135_at	-0.572402258	0.890811701
1555157_at_1555157_at	1555157_at	1555157_at	4.422359519	0.109401208
1555158_at_1555158_at	1555158_at	1555158_at	3.865515404	0.349032371
1555162_at_1555162_at	1555162_at	1555162_at	1.814948462	0.411839138
1555163_at_1555163_at	1555163_at	1555163_at	5.519523389	0.019863886
1555174_at_1555174_at	1555174_at	1555174_at	0.382530809	0.89536898
1555176_at_1555176_at	1555176_at	1555176_at	6.312601819	0.136565623
1555187_at_1555187_at	1555187_at	1555187_at	0.88617645	0.674401715
1555194_at_1555194_at	1555194_at	1555194_at	2.056374655	0.140152228
1555204_at_1555204_at	1555204_at	1555204_at	7.895138343	0.157294746
1555205_at_1555205_at	1555205_at	1555205_at	0.732056163	0.79697173
1555221_at_1555221_at	1555221_at	1555221_at	-8.487529675	0.047473751
1555222_a_at_1555222_a_at	1555222_a_at	1555222_a_at	0.744483847	0.798189109
1555237_at_1555237_at	1555237_at	1555237_at	3.802493701	0.212785378
1555247_a_at_1555247_a_at	1555247_a_at	1555247_a_at	1.049110502	0.301977208
1555261_at_1555261_at	1555261_at	1555261_at	1.405264559	0.55870292
1555263_at_1555263_at	1555263_at	1555263_at	-0.677368387	0.8701261
1555303_at_1555303_at	1555303_at	1555303_at	0.933320338	0.103595866
1555311_at_1555311_at	1555311_at	1555311_at	2.077755624	0.129486139
1555325_s_at_1555325_s_at	1555325_s_at	1555325_s_at	0.577966162	0.513736762
1555344_at_1555344_at	1555344_at	1555344_at	0.733560918	0.857182446
1555373_at_1555373_at	1555373_at	1555373_at	0.363403797	0.868865222
1555392_at_1555392_at	1555392_at	1555392_at	-1.186959711	0.092243814
1555408_at_1555408_at	1555408_at	1555408_at	1.005291418	0.193367322
1555409_a_at_1555409_a_at	1555409_a_at	1555409_a_at	1.125183286	0.141133592
1555410_at_1555410_at	1555410_at	1555410_at	1.340186135	0.380196128
1555415_at_1555415_at	1555415_at	1555415_at	5.820341699	0.16441257
1555429_at_1555429_at	1555429_at	1555429_at	2.578628603	0.442904254
1555456_at_1555456_at	1555456_at	1555456_at	-2.622998786	0.455848245
1555461_at_1555461_at	1555461_at	1555461_at	-0.579544917	0.375281462
1555488_at_1555488_at	1555488_at	1555488_at	1.814705075	0.566526663
1555489_at_1555489_at	1555489_at	1555489_at	4.417104448	0.183443537
1555498_at_1555498_at	1555498_at	1555498_at	-1.644500814	0.556907498
1555519_at_1555519_at	1555519_at	1555519_at	-1.671251989	0.148310905
1555522_s_at_1555522_s_at	1555522_s_at	1555522_s_at	-3.020447526	0.015983767
1555547_at_1555547_at	1555547_at	1555547_at	1.391198922	0.278570759
1555580_at_1555580_at	1555580_at	1555580_at	-5.122602824	0.251423259
1555601_at_1555601_at	1555601_at	1555601_at	-3.777518508	0.44051185
1555616_at_1555616_at	1555616_at	1555616_at	-1.021890658	0.522199163
1555617_x_at_1555617_x_at	1555617_x_at	1555617_x_at	0.975868121	0.623902788
1555623_at_1555623_at	1555623_at	1555623_at	7.03597844	0.193816645
1555631_at_1555631_at	1555631_at	1555631_at	-2.521894766	0.434111176
1555646_at_1555646_at	1555646_at	1555646_at	-5.777380573	0.205294865
1555653_at_1555653_at	1555653_at	1555653_at	-1.710176349	0.335450679
1555664_at_1555664_at	1555664_at	1555664_at	1.388405429	0.589390052
1555665_at_1555665_at	1555665_at	1555665_at	0.231356948	0.958935543
1555681_at_1555681_at	1555681_at	1555681_at	0.110262943	0.968503853
1555691_a_at_1555691_a_at	1555691_a_at	1555691_a_at	-1.609435889	0.586595975
1555692_at_1555692_at	1555692_at	1555692_at	-3.53973846	0.407461915
1555717_at_1555717_at	1555717_at	1555717_at	-3.991400514	0.511976942
1555718_x_at_1555718_x_at	1555718_x_at	1555718_x_at	-6.806187333	0.150153247
1555723_at_1555723_at	1555723_at	1555723_at	1.176524777	0.361393641
1555727_at_1555727_at	1555727_at	1555727_at	2.788699066	0.532135783
1555755_at_1555755_at	1555755_at	1555755_at	1.183992841	0.796218949
1555762_s_at_1555762_s_at	1555762_s_at	1555762_s_at	-1.81523348	0.255346229
1555790_a_at_1555790_a_at	1555790_a_at	1555790_a_at	-0.070426042	0.928050251
1555794_at_1555794_at	1555794_at	1555794_at	-3.205190019	0.254200396
1555816_at_1555816_at	1555816_at	1555816_at	4.331467912	0.111375197
1555817_s_at_1555817_s_at	1555817_s_at	1555817_s_at	0.852591409	0.423104314
1555822_at_1555822_at	1555822_at	1555822_at	-3.488103453	0.235044541
1555826_at_1555826_at	1555826_at	1555826_at	-0.024254982	0.97548241
1555845_at_1555845_at	1555845_at	1555845_at	-0.492475665	0.574923577
1555846_a_at_1555846_a_at	1555846_a_at	1555846_a_at	-0.418894944	0.66014687
1555848_at_1555848_at	1555848_at	1555848_at	-0.082062639	0.91472376
1555854_at_1555854_at	1555854_at	1555854_at	-0.448730192	0.181242349
1555855_at_1555855_at	1555855_at	1555855_at	0.206410632	0.952058147
1555856_s_at_1555856_s_at	1555856_s_at	1555856_s_at	0.546695607	0.764247653
