	X54675	X54675.1	doxorubicin.coeff	doxorubicin.pvalue
ASGR2_206130_s_at	ASGR2	206130_s_at	-0.727327905	0.672422618
ASH1L_222667_s_at	ASH1L	222667_s_at	0.219661997	0.682640894
ASH2L_209517_s_at	ASH2L	209517_s_at	0.218995893	0.649188965
ASIC1_205156_s_at	ASIC1	205156_s_at	-0.583172984	0.364094278
ASIC2_206690_at	ASIC2	206690_at	-0.422791823	0.770988986
ASIC3_207561_s_at	ASIC3	207561_s_at	1.033717301	0.407698061
ASIC4_221226_s_at	ASIC4	221226_s_at	-0.449473529	0.761506005
ASIC5_1564504_at	ASIC5	1564504_at	1.204790652	0.64789214
ASIP_214498_at	ASIP	214498_at	-1.050988519	0.516008685
ASL_204608_at	ASL	204608_at	-0.089205828	0.818924387
ASMT_210551_s_at	ASMT	210551_s_at	-1.205700148	0.502888469
ASMTL-AS1_1552872_at	ASMTL-AS1	1552872_at	-2.471373127	0.112674621
ASMTL_36553_at	ASMTL	36553_at	0.350272864	0.247025972
ASNA1_202024_at	ASNA1	202024_at	0.847177583	0.25702412
ASNS_241082_at	ASNS	241082_at	-1.28880387	0.415850035
ASNSD1_217987_at	ASNSD1	217987_at	-1.145969498	0.161987289
ASPA_206030_at	ASPA	206030_at	-1.832472838	0.155497816
ASPDH_230912_at	ASPDH	230912_at	-0.425362436	0.726878414
ASPG_1557226_a_at	ASPG	1557226_a_at	0.943082167	0.536216503
ASPH_207284_s_at	ASPH	207284_s_at	-0.669237925	0.307222682
ASPHD1_214993_at	ASPHD1	214993_at	-0.140807475	0.701829972
ASPHD2_227014_at	ASPHD2	227014_at	-0.213733396	0.465819425
ASPM_219918_s_at	ASPM	219918_s_at	-1.184711932	0.025828828
ASPN_224396_s_at	ASPN	224396_s_at	-0.118599092	0.939727091
ASPRV1_235514_at	ASPRV1	235514_at	-0.145881484	0.913971895
ASPSCR1_218908_at	ASPSCR1	218908_at	0.055803971	0.918061117
ASRGL1_218857_s_at	ASRGL1	218857_s_at	-0.261762077	0.194895747
ASS1_207076_s_at	ASS1	207076_s_at	-0.034795268	0.840460366
ASTE1_221135_s_at	ASTE1	221135_s_at	0.191847944	0.760057178
ASTN1_213197_at	ASTN1	213197_at	0.22183075	0.862251679
ASTN2_209693_at	ASTN2	209693_at	0.555589255	0.071205007
ASUN_221652_s_at	ASUN	221652_s_at	-0.037634991	0.943265251
ASXL1_244519_at	ASXL1	244519_at	-0.274534008	0.408966072
ASXL2_218659_at	ASXL2	218659_at	0.731120301	0.252031732
ASXL3_232838_at	ASXL3	232838_at	2.145325535	0.23613795
ASZ1_1569729_a_at	ASZ1	1569729_a_at	1.298009387	0.346709084
ATAD1_227585_at	ATAD1	227585_at	-0.605748399	0.265632791
ATAD2_218782_s_at	ATAD2	218782_s_at	0.433209648	0.258586081
ATAD2B_213387_at	ATAD2B	213387_at	0.251140516	0.498088695
ATAD3A_227700_x_at	ATAD3A	227700_x_at	-0.720062159	0.26653849
