	X54675	X54675.1	docetaxel.coeff	docetaxel.pvalue
LOC100131532_221186_at	LOC100131532	221186_at	-3.428568385	0.509909078
LOC100131541_1558569_at	LOC100131541	1558569_at	-2.240104622	0.000893265
LOC100131551_1564485_at	LOC100131551	1564485_at	-0.146222755	0.970476063
LOC100131564_227074_at	LOC100131564	227074_at	2.135674611	0.029221718
LOC100131581_1560001_at	LOC100131581	1560001_at	6.288797183	0.116783169
LOC100131607_229444_at	LOC100131607	229444_at	1.654602592	0.103189646
LOC100131608_240731_at	LOC100131608	240731_at	3.302324568	0.485972663
LOC100131655_1569832_at	LOC100131655	1569832_at	15.56775004	0.011637621
LOC100131662_236973_at	LOC100131662	236973_at	-4.144703592	0.244506945
LOC100131691_1568864_at	LOC100131691	1568864_at	2.278935665	0.077579469
LOC100131733_228675_at	LOC100131733	228675_at	-6.383800316	0.267785054
LOC100131756_1564202_at	LOC100131756	1564202_at	-0.872401841	0.882627195
LOC100131763_1563822_at	LOC100131763	1563822_at	-8.44193454	0.137316859
LOC100131825_217442_at	LOC100131825	217442_at	7.245229233	0.009349759
LOC100131860_1559180_at	LOC100131860	1559180_at	7.087482215	0.012751425
LOC100131864_1564660_at	LOC100131864	1564660_at	0.88417382	0.857557866
LOC100132005_1557669_at	LOC100132005	1557669_at	4.639174638	0.265096641
LOC100132077_1559514_at	LOC100132077	1559514_at	7.018355723	0.161869723
LOC100132078_1556844_at	LOC100132078	1556844_at	-12.56931166	0.060306027
LOC100132116_1564257_at	LOC100132116	1564257_at	-3.45300232	0.31898404
LOC100132147_241835_at	LOC100132147	241835_at	-0.557408734	0.41313599
LOC100132167_224519_at	LOC100132167	224519_at	-1.948716332	0.167710915
LOC100132207_243019_at	LOC100132207	243019_at	4.158803808	0.403826822
LOC100132249_1569008_at	LOC100132249	1569008_at	-11.60721468	0.04379371
LOC100132273_228117_at	LOC100132273	228117_at	-0.058720754	0.987111678
LOC100132319_224526_at	LOC100132319	224526_at	7.431841365	0.144713344
LOC100132354_1564012_at	LOC100132354	1564012_at	-1.453266771	0.72216512
LOC100132356_1558310_s_at	LOC100132356	1558310_s_at	7.231134346	0.001232939
LOC100132661_224103_at	LOC100132661	224103_at	4.354979964	0.181604787
LOC100132686_1555180_at	LOC100132686	1555180_at	-3.86348277	0.372382289
LOC100132707_1558527_at	LOC100132707	1558527_at	0.205153639	0.860940482
LOC100132735_1557161_at	LOC100132735	1557161_at	0.275044055	0.790167543
LOC100132741_1556402_at	LOC100132741	1556402_at	-1.581778439	0.728398357
